original_title,generated_title
"Action Principle for Hydrodynamics and Thermodynamics including general,
  rotational flows",['An action principle for general rotational hydrodynamics']
"Scaling limits for the threshold window: When does a monotone Boolean
  function flip its outcome?",['Threshold behavior of monotone Boolean functions']
"On operads, bimodules and analytic functors",['The bicategory of operads and analytic functors']
"Thickness-shear Frequencies of an Infinite Quartz Plate with Material
  Property Variation Along the Thickness",['Thickness-Shear Effects on the Vibrations of Functionally Graded Quartz Crystal Blanks of Resonators']
"Are the most super-massive dark compact objects harbored at the center
  of dark matter halos?",['Semi-degenerate fermionic dark matter in General Relativity']
"The ""Runs"" Theorem",['A Characterization of Maximal Repetitions in Strings Based on Lyndon Words']
Persistently damped transport on a network of circles,['Uniform exponential stability for a system of transport equations with intermittent damping on a network of circles']
The solvable length of groups of local diffeomorphisms,['On the derived length of solvable subgroups of groups of local complex analytic diffeomorphisms']
On complex H-type Lie algebras,['On the completeness of the complex Heisenberg Lie algebras']
Strong converse rates for quantum communication,['Strong converse rate for quantum communication over channels with a non-trivial quantum capacity']
"Ergodic Theory Meets Polarization. II: A Foundation of Polarization
  Theory",['Ergodic Theory of Binary Operations and Polarization of Channels']
"Algorithm for computing the factor ring of an ideal in Dedekind domain
  with finite rank",['Computing factor rings in Dedekind domains with finite rank']
Stochastic transport equation in bounded domains,['Stochastic transport equations in bounded domains']
Divide-and-Conquer with Sequential Monte Carlo,['Divide-and-Conquer Sequential Monte Carlo for Probabilistic Graphical Models']
Vertex adjacencies in the set covering polyhedron,['On the adjacency of vertices of the set covering polyhedron']
Degree of reductivity of a modular representation,['Degree of reductivity for modular representations']
Line Simplification,['Line simplification guided by fractal geometry']
Inverting the signature of a path,['Signature reconstruction of $C1$ paths']
Spectral multiplier theorems and averaged R-boundedness,"['H""ormander functional calculus and averaged $R$-boundedness']"
Expandable Factor Analysis,['Expandable Factor Analysis']
Which nestohedra are removahedra?,['Removahedra from nested complexes']
"Achieving New Upper Bounds for the Hypergraph Duality Problem through
  Logic",['The Logtime-Uniform Hypergraph Duality Problem']
"Small Oscillations via Conservation of Energy in a Simple Static
  Equilibrium Problem",['Analogy-based small oscillations analysis of a standard static equilibrium lab problem']
"Is the recently proposed Mars-sized perturber at $65-80~\textrm{AU}$
  ruled out by the Cassini ranging data?",['On the existence of a pointlike pertuber in the Solar System and its impact on the Earth-Saturn range']
Is Bayes theorem applicable to all quantum states?,['The Bayes theorem is not applicable to nonfactorizable quantum states']
A note on multipivot Quicksort,['The expected cost of a generalised Quicksort scheme']
"Hamiltonian structure of an operator valued extension of Super KdV
  equations",['Hamiltonian structure of the $N=1$ super KdV integrable system']
L\'evy-driven Volterra equations in space and time,"[""Nonlinear stochastic Volterra equations driven by L'evy bases""]"
Oblivious transfer based on single-qubit rotations,['Practical Security of a Bit-String Quantum Oblivious Transfer Protocol Based on Single-Qubit Rotations']
Convex Biclustering,['COBRA: A Convex Biclustering Algorithm']
"Conformally covariant boundary correlation functions with a quantum
  group",['Boundary Correlation Functions for Schramm-Loewner Evolutions']
"On optimal approximability results for computing the strong metric
  dimension",['Computational Complexity of the Strong Metric Dimension']
Moonshine and the Meaning of Life,['On the first 24 coefficients of the modular invariant and of the modular discriminant']
An example of non-embeddability of the Ricci flow,['Extensions of embeddings under Ricci flow']
"Surjectivity of differential operators and linear topological invariants
  for spaces of zero solutions",['On the surjectivity of linear differential operators with constant coefficients']
Do we always need a filter?,['Dynamic State Estimation with Observation-Only Information Fusion']
"Partial facial reduction: simplified, equivalent SDPs via approximations
  of the PSD cone",['Practical Semidefinite Programming Facial Reduction using Positive Semidefinite Cone Approximations']
"Real-Time First Order Guidance Strategies for Trajectory Optimization in
  UAVs by Utilizing Wind Energy",['Real-Time Wind-Driven Guidance Strategies for UAVs']
"Crossing Minimization for 1-page and 2-page Drawings of Graphs with
  Bounded Treewidth",['Fixed-parameter tractability of crossing minimization for drawings']
"Fourth order quasi-compact difference schemes for (tempered) space
  fractional diffusion equations",['High order quasi-compact schemes for space fractional derivative and tempered space fractional diffusion equation']
Flat Foldings of Plane Graphs with Prescribed Angles and Edge Lengths,['Flat Folding of Plane Graphs with Prescribed Edge Lengths and Angles']
$L$-space surgeries on links,['Hyperbolic $L$-space surgeries']
Comparing the $\pi$-primary submodules of the dual Selmer groups,['Comparing the structure of Selmer groups of certain classes of Galois representations']
"Geometry and dynamics in Gromov hyperbolic metric spaces: With an
  emphasis on non-proper settings",['Isometrical groups on Gromov hyperbolic metric spaces: Hausdorff dimension and quasiconformal measures']
"Quasistationary distributions for one-dimensional diffusions with
  singular boundary points",['Quasistationary distributions for singular diffusions']
Ground state connectivity of local Hamiltonians,['Ground State Connectivity of Local Hamiltonians']
On the p-regularized trust region subproblem,['On the global and the local non-global minimizers of the regularized subproblem']
Doing-it-All with Bounded Work and Communication,['Do-All with Adversarial Work and Communication']
"Spin-charge-family theory is offering next step in understanding
  elementary particles and fields and correspondingly universe",['Spin-charge-family theory: a new approach to fermion and boson fields']
"On Characterizing weak defining hyperplanes (weak Facets) in DEA with
  Constant Returns to Scale Technology",['Finding Weak Hyperplanes of the Production Possibility Set of the Data Envelopment Analysis Model']
"A new DEA ranking system based on interval Cross Efficiency and interval
  Analytic Hierarchy Process methods",['Ranking DMUs via Interval Cross-Efficiency and Interval Analytic Hierarchy Process Methods']
RENOIR - A Dataset for Real Low-Light Image Noise Reduction,['Image Denoising with Real and Artificial Noise']
Minimal graded Lie algebras and representations of quadratic algebras,['Graded Lie algebras associated with quadratic Lie algebras']
Counterdiabatic driving of the quantum Ising model,['Exact and approximate counterdiabatic Hamiltonians for the counterdiabatic Ising model']
Entanglement negativity after a global quantum quench,['Entanglement negativity after a quantum quench']
"Parabolic arcs of the multicorns: Real-analyticity of Hausdorff
  dimension, and singularities of $\mathrm{Per}_n(1)$ curves",['Parabolic arcs in algebraic curves and the Hausdorff dimension of the Julia sets']
Almost Separable Matrices,['Almost Separable Matrices']
TDDFT calculations for excitation spectra of III-V ternary alloys,['Color-red excitation spectra of III-V ternary alloys with arbitrary concentration $x$']
"On a global estimate of the Diederich--Fornaess index of Levi-flat real
  hypersurfaces",['The Diederich--Fornaess index of Levi-flat real hypersurfaces']
"The quartic Fermat equation in Hilbert class fields of imaginary
  quadratic fields",['Integral solutions of the quartic Fermat equation and applications to Weber singular moduli']
"Extensions of the classical theorems for very well-poised hypergeometric
  functions",['Extensions of the classical theorems for very well-poised hypergeometric functions']
Intervals of permutation class growth rates,['Permutation classes with given growth rates']
"Identifying the number of factors from singular values of a large sample
  auto-covariance matrix",['Estimation of the Number of Factors in High-Dimensional Factor Models']
A lazy approach to on-line bipartite matching,['Lazy matching for bipartite graphs']
"Multiple testing with discrete data: proportion of true null hypotheses
  and two adaptive FDR procedures",['Adaptive multiple testing with discrete and heterogeneous null distributions']
A strong law of large numbers related to multiple testing Normal means,['The Strong Law of Large Numbers for Multiple Testing of the Normal Means']
Nerve complexes of circular arcs,['Nerve complexes of circular arcs']
"Topological polylogarithms and $p$-adic interpolation of $L$-values of
  totally real fields",['Integrality and $p$-adic interpolation for Eisenstein cohomology']
Dense 3D Face Correspondence,['Dense 3D Face Correspondences']
"Strongly Secure Quantum Ramp Secret Sharing Constructed from Algebraic
  Curves over Finite Fields",['Algebraic curves over finite fields and quantum ramp secret sharing']
