original_titles,generated_titles
Exponential Mixing for Skew Products with Discontinuities,['Exponential Mixing or Cohomology of Skew Products']
"Action Principle for Hydrodynamics and Thermodynamics including general,
  rotational flows",['Action principle for general rotational hydrodynamics']
"Scaling limits for the threshold window: When does a monotone Boolean
  function flip its outcome?",['Threshold window for monotone Boolean functions and its varying distribution']
"On operads, bimodules and analytic functors",['On operads and analytic functors']
"Thickness-shear Frequencies of an Infinite Quartz Plate with Material
  Property Variation Along the Thickness",['Thickness-Shear Vibrations of Functionally Graded Quartz Crystal Blanks of Resonators']
"Are the most super-massive dark compact objects harbored at the center
  of dark matter halos?",['Semi-degenerate fermion core-halo configurations and dark matter distribution in big elliptical galaxies']
"The ""Runs"" Theorem","['The ""Runs"" Conjecture and its Simplest Algorithm']"
Persistently damped transport on a network of circles,['Exponential stability of a system of transport equations with intermittent damping on a network of circles']
The solvable length of groups of local diffeomorphisms,"['The derived length of solvable subgroups of $mathrmDiff(mathbb Cn,0)$']"
On complex H-type Lie algebras,['On the completeness of the complex Heisenberg Lie algebras']
Strong converse rates for quantum communication,['The strong converse property for quantum communication over generalized dephasing channels']
"Ergodic Theory Meets Polarization. II: A Foundation of Polarization
  Theory",['Ergodic Theory of Binary Operations for Polarization of Multilevel Arikan Style Constructions. II: Single User Channels and Multiple Access Channels']
"Algorithm for computing the factor ring of an ideal in Dedekind domain
  with finite rank",['Computing Factor Rings of Ideals in Dedekind Domains']
Stochastic transport equation in bounded domains,['Stochastic transport equations in bounded domains: Existence and uniqueness']
Divide-and-Conquer with Sequential Monte Carlo,['Divide-and-Conquer Sequential Monte Carlo for Probabilistic Graphical Models']
Vertex adjacencies in the set covering polyhedron,['Vertex adjacency of the set covering polyhedron']
Degree of reductivity of a modular representation,['On the degree of reductivity of modular representations']
Line Simplification,['Line Simplification Guided by Fractal Geometry']
Inverting the signature of a path,['Signature reconstruction of $C1$ paths']
Spectral multiplier theorems and averaged R-boundedness,"['H""ormander functional calculus and averaged $R$-boundedness']"
Expandable Factor Analysis,['Expandable Factor Analysis']
Which nestohedra are removahedra?,['Removahedra from connected buildings']
"Achieving New Upper Bounds for the Hypergraph Duality Problem through
  Logic","['The logtime-uniform hypergraph duality is in the $mathrmGC(log2 n,mathrmTC0)$']"
"Small Oscillations via Conservation of Energy in a Simple Static
  Equilibrium Problem",['Analogy-based small oscillations analysis of a standard static equilibrium lab problem']
"Is the recently proposed Mars-sized perturber at $65-80~\textrm{AU}$
  ruled out by the Cassini ranging data?",['Can the $65-80textrmAU$ Kronian Range be ruled out by a Pointlike Pertuber?']
Is Bayes theorem applicable to all quantum states?,['Bayes Theorem For Nonfactorizable Quantum Entanglement']
A note on multipivot Quicksort,['Analysis of a Generalised Quicksort Scheme']
"Hamiltonian structure of an operator valued extension of Super KdV
  equations",['Hamiltonian structure of the $N=1$ super KdV integrable system']
L\'evy-driven Volterra equations in space and time,"[""Nonlinear stochastic Volterra equations driven by L'evy bases""]"
Oblivious transfer based on single-qubit rotations,['Practical Bit-String Quantum Oblivious Transfer']
Convex Biclustering,['A Convex Formulation of the Biclustering Problem']
"Conformally covariant boundary correlation functions with a quantum
  group",['Boundary Correlation Functions for Schramm-Loewner Evolutions and Quantum Groups']
"On optimal approximability results for computing the strong metric
  dimension",['On the Computational Complexity of Computing the Strong Metric Dimension']
Moonshine and the Meaning of Life,['On the first 24 coefficients of the modular invariant and of the modular discriminant']
An example of non-embeddability of the Ricci flow,['Nonexistence of smooth extensions to metrics under the Ricci flow']
"Surjectivity of differential operators and linear topological invariants
  for spaces of zero solutions","[""Zero solutions of certain differential operators on $Cinfty(X)$ and $mathscrD'(X)$""]"
Do we always need a filter?,['When and Why a Multi-sensor Observation-Only Filter Fails in Dynamic State Estimation']
"Partial facial reduction: simplified, equivalent SDPs via approximations
  of the PSD cone",['Practical Semidefinite Programming Facial Reduction using Approximations of the PSD Cone']
"Real-Time First Order Guidance Strategies for Trajectory Optimization in
  UAVs by Utilizing Wind Energy",['Real-Time Guidance Strategies for Ensuring Flight Endurance of Unmanned Aerial Vehicles']
"Crossing Minimization for 1-page and 2-page Drawings of Graphs with
  Bounded Treewidth",['Crossing Minimization for 1-page and 2-page Book Drawings']
"Fourth order quasi-compact difference schemes for (tempered) space
  fractional diffusion equations",['High order quasi-compact schemes for space fractional derivative and tempered space fractional diffusion equation']
Flat Foldings of Plane Graphs with Prescribed Angles and Edge Lengths,['Flat Foldability of Plane Graphs with Prescribed Edge Lengths and Angles']
$L$-space surgeries on links,['Floer homology of $L$-space links']
Comparing the $\pi$-primary submodules of the dual Selmer groups,['Comparing the structure of Selmer groups of certain classes of Galois representations']
"Geometry and dynamics in Gromov hyperbolic metric spaces: With an
  emphasis on non-proper settings",['Isometric groups acting on Gromov hyperbolic spaces']
"Quasistationary distributions for one-dimensional diffusions with
  singular boundary points",['Quasistationary distributions for singular diffusions']
Ground state connectivity of local Hamiltonians,['Ground State Connectivity of Local Hamiltonians']
On the p-regularized trust region subproblem,['On the non-global minimizers of the $p$-regularized subproblem']
Doing-it-All with Bounded Work and Communication,['The Do-All Problem for Adversarial Message Passing']
"Spin-charge-family theory is offering next step in understanding
  elementary particles and fields and correspondingly universe",['Spin-Charge-Family Theory: a new approach to understanding properties of fields']
"On Characterizing weak defining hyperplanes (weak Facets) in DEA with
  Constant Returns to Scale Technology",['Finding Weak Hyperplanes of the Production Possibility Set of the CCR-technology']
"A new DEA ranking system based on interval Cross Efficiency and interval
  Analytic Hierarchy Process methods",['Ranking DMUs using Interval Cross-Efficiency and Interval Analytic Hierarchy Process Models']
RENOIR - A Dataset for Real Low-Light Image Noise Reduction,['Color Images Corrupted by Natural Noise: A Dataset for Low-Light Image Denoising']
Minimal graded Lie algebras and representations of quadratic algebras,['Graded Lie algebras associated with quadratic Lie algebras']
Counterdiabatic driving of the quantum Ising model,['Counterdiabatic driving of the quantum Ising model']
Entanglement negativity after a global quantum quench,['Negativity after a quantum quench: quasi-particle interpretation']
"Parabolic arcs of the multicorns: Real-analyticity of Hausdorff
  dimension, and singularities of $\mathrm{Per}_n(1)$ curves",['Parabolic arcs in the Julia sets of multicorns and their dynamical behavior']
Almost Separable Matrices,['Almost Separable Matrices']
TDDFT calculations for excitation spectra of III-V ternary alloys,['Color-red excitation spectra of III-V ternary alloys with arbitrary concentration $x$']
"On a global estimate of the Diederich--Fornaess index of Levi-flat real
  hypersurfaces",['The Diederich-Fornaess index of Levi-flat domains']
"The quartic Fermat equation in Hilbert class fields of imaginary
  quadratic fields",['Integral solutions of the quartic Fermat equation in quadratic fields and applications']
"Extensions of the classical theorems for very well-poised hypergeometric
  functions",['Extensions of the classical theorems for very well-poised hypergeometric functions']
Intervals of permutation class growth rates,['The density of the set of growth rates of permutation classes']
"Identifying the number of factors from singular values of a large sample
  auto-covariance matrix",['Detecting the number of factors in high-dimensional factor models']
A lazy approach to on-line bipartite matching,['A lazy approach to on-line bipartite graph matching']
"Multiple testing with discrete data: proportion of true null hypotheses
  and two adaptive FDR procedures",['Adaptive multiple testing with discrete and heterogeneous null distributions']
A strong law of large numbers related to multiple testing Normal means,['Stability of Multiple Testing under Dependence: Principal Correlation Structure']
Nerve complexes of circular arcs,['Nerve complexes of circular arcs']
